layer_idx,layer_name,numel,err_mean,err_std,err_abs_max,err_rmse,delta_int8,theoretical_std,std_ratio,err_kurtosis,err_skewness,ks_stat,ks_pvalue,pct_within_half_delta,pct_within_delta,entropy_ratio,pch_std_ratio_mean,pch_std_ratio_median,pch_kurtosis_mean,pch_ks_stat_mean
10,model.input_blocks.3.0.cond_emb_layers.1,65536,1.4433379647016409e-06,0.0006885682232677937,0.002521693706512451,0.0006885697366669774,0.004650282812869455,0.001342421016909035,0.9960620613619526,-0.2503733506744559,-0.01446637604309848,0.012465332889556868,0.08865710406584426,0.99932861328125,1.0,0.9996053304068139,0.9947038513818702,0.9957471846289425,-1.1825162830303069,0.0403519372921437
11,model.input_blocks.3.0.out_layers.3,147456,2.0173504253762076e-06,0.0011166143231093884,0.004232440143823624,0.0011166161857545376,0.00783342920889066,0.0022613162312154498,1.0004715744833717,-0.06580864138566023,-0.012981479402151079,0.007130057382583627,0.6867051734996157,0.9994167751736112,1.0,0.9998251457087419,0.9999821428007931,1.0004108703787784,-1.1963209814947557,0.027802005361765622
12,model.input_blocks.4.0.in_layers.2,147456,1.438647700524598e-06,0.0013618564698845148,0.006181000731885433,0.0013618572847917676,0.008950506608317218,0.0025837886998477354,1.0010141948468803,-0.09971608782035979,0.012102019765545972,0.012191115331649793,0.10150886350755606,0.9976535373263888,1.0,0.9998188300457939,1.0005228766461705,1.000638820485823,-1.1985995449268998,0.02618553460389375
13,model.input_blocks.4.0.emb_layers.1,131072,-2.053909383903374e-06,0.0004142223915550858,0.0016392804682254791,0.0004142274847254157,0.003186191982171667,0.0009197743992983197,1.000930984798747,-0.0821124315901316,0.00467327803706375,0.013849149942398054,0.042759959694671945,0.9998855590820312,1.0,0.9997777258956535,0.9997709241496601,0.9993408056779094,-1.1941538799274327,0.03814856242388487
14,model.input_blocks.4.0.cond_emb_layers.1,65536,1.4267495771491667e-06,0.0006790945772081614,0.002347998321056366,0.0006790960323996842,0.0045967378954249105,0.001326963930658863,0.9971225249034215,-0.441625924702032,0.014120796376052765,0.009824516630172753,0.28741694146929964,0.99981689453125,1.0,0.9995604707201836,0.9960418427914016,0.9955006000136,-1.187382222181939,0.0368913218844682
15,model.input_blocks.4.0.out_layers.3,147456,-1.6698787703717244e-06,0.0008897245861589909,0.002755429595708847,0.0008897262159734964,0.005474054203258725,0.0015802233339050136,0.9990514287983595,-0.49068237136187776,0.010318876598773077,0.00942232203483584,0.33503810942861423,0.9999254014756944,1.0,0.9998075197146346,0.9985845853273196,0.9995268926652048,-1.1933305601075435,0.027488005897030238
16,model.input_blocks.5.0.in_layers.2,147456,2.9349585020099767e-06,0.0014483435079455376,0.005312593653798103,0.0014483464183285832,0.008459912041040856,0.0024421662471077474,1.0024997935970494,-0.3199317970411908,0.00479503769139907,0.015478636741638185,0.016422792183753355,0.9953884548611112,1.0,0.9998436234192484,1.0020170740153214,1.002562562467105,-1.2047896515327872,0.027120499260723588
17,model.input_blocks.5.0.emb_layers.1,131072,-5.223860739533848e-07,0.0003970539546571672,0.0014492496848106384,0.0003970543039031327,0.00283503027882163,0.000818402747319204,0.9996596054652981,-0.18301326196433987,-0.004585157166514384,0.007861806011199901,0.5640465623777826,0.999908447265625,1.0,0.9997816845634473,0.9985375413400127,0.9973407189936565,-1.1934808399300145,0.03798118105623871
18,model.input_blocks.5.0.cond_emb_layers.1,65536,3.6241929137759143e-06,0.000705855549313128,0.0033829808235168457,0.0007058648625388741,0.00564257296051566,0.00162887050883791,0.9991784118742948,-0.04440963433803713,-0.00345999978810498,0.00687222633361817,0.7296573589875857,0.9986419677734375,1.0,0.9995579741145695,0.9980037764813454,0.9982279487128332,-1.192516867854848,0.038005557376891375
19,model.input_blocks.5.0.out_layers.3,147456,7.704102245043032e-07,0.0008079035324044526,0.002630600705742836,0.000807903881650418,0.00525166716162614,0.001516025724729585,1.0000601699649962,-0.5496149979456382,-0.0026347071284051364,0.0057415632247924675,0.8945999228503863,0.9999796549479166,1.0,0.999813556201884,0.9994292857172657,0.9994747573372802,-1.197268377131635,0.028758242959156632
